PassengerId,Survived,Pclass,Age,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title,FamilySize
1,0,3,22.0,7.25,,0,1,0,0,1,Mr,2
2,1,1,38.0,71.2833,C85,1,0,1,0,0,Mrs,2
3,1,3,26.0,7.925,,1,0,0,0,1,Miss,1
4,1,1,35.0,53.1,C123,1,0,0,0,1,Mrs,2
5,0,3,35.0,8.05,,0,1,0,0,1,Mr,1
6,0,3,,8.4583,,0,1,0,1,0,Mr,1
7,0,1,54.0,51.8625,E46,0,1,0,0,1,Mr,1
8,0,3,2.0,21.075,,0,1,0,0,1,Master,5
9,1,3,27.0,11.1333,,1,0,0,0,1,Mrs,3
10,1,2,14.0,30.0708,,1,0,1,0,0,Mrs,2
11,1,3,4.0,16.7,G6,1,0,0,0,1,Miss,3
12,1,1,58.0,26.55,C103,1,0,0,0,1,Miss,1
13,0,3,20.0,8.05,,0,1,0,0,1,Mr,1
14,0,3,39.0,31.275,,0,1,0,0,1,Mr,7
15,0,3,14.0,7.8542,,1,0,0,0,1,Miss,1
16,1,2,55.0,16.0,,1,0,0,0,1,Mrs,1
17,0,3,2.0,29.125,,0,1,0,1,0,Master,6
18,1,2,,13.0,,0,1,0,0,1,Mr,1
19,0,3,31.0,18.0,,1,0,0,0,1,Mrs,2
20,1,3,,7.225,,1,0,1,0,0,Mrs,1
21,0,2,35.0,26.0,,0,1,0,0,1,Mr,1
22,1,2,34.0,13.0,D56,0,1,0,0,1,Mr,1
23,1,3,15.0,8.0292,,1,0,0,1,0,Miss,1
24,1,1,28.0,35.5,A6,0,1,0,0,1,Mr,1
25,0,3,8.0,21.075,,1,0,0,0,1,Miss,5
26,1,3,38.0,31.3875,,1,0,0,0,1,Mrs,7
27,0,3,,7.225,,0,1,1,0,0,Mr,1
28,0,1,19.0,263.0,C23 C25 C27,0,1,0,0,1,Mr,6
29,1,3,,7.8792,,1,0,0,1,0,Miss,1
30,0,3,,7.8958,,0,1,0,0,1,Mr,1
31,0,1,40.0,27.7208,,0,1,1,0,0,Don,1
32,1,1,,146.5208,B78,1,0,1,0,0,Mrs,2
33,1,3,,7.75,,1,0,0,1,0,Miss,1
34,0,2,66.0,10.5,,0,1,0,0,1,Mr,1
35,0,1,28.0,82.1708,,0,1,1,0,0,Mr,2
36,0,1,42.0,52.0,,0,1,0,0,1,Mr,2
37,1,3,,7.2292,,0,1,1,0,0,Mr,1
38,0,3,21.0,8.05,,0,1,0,0,1,Mr,1
39,0,3,18.0,18.0,,1,0,0,0,1,Miss,3
40,1,3,14.0,11.2417,,1,0,1,0,0,Miss,2
41,0,3,40.0,9.475,,1,0,0,0,1,Mrs,2
42,0,2,27.0,21.0,,1,0,0,0,1,Mrs,2
43,0,3,,7.8958,,0,1,1,0,0,Mr,1
44,1,2,3.0,41.5792,,1,0,1,0,0,Miss,4
45,1,3,19.0,7.8792,,1,0,0,1,0,Miss,1
46,0,3,,8.05,,0,1,0,0,1,Mr,1
47,0,3,,15.5,,0,1,0,1,0,Mr,2
